beaconid,edgenodeid,gamma,bias,edge_x,edge_y,edge_z
1,1,2.084114501909108,-58.54209327597163,19.82,6.55,1.6
1,2,3.27687002089379,-42.527825982043254,24.71,10.31,1.6
1,3,2.6892645136267435,-49.352126532455905,25.16,6.85,1.6
1,8,2.227754433067561,-50.55458216745908,0.0,9.79,1.6
1,9,2.8165965556124384,-48.81156874734422,21.68,0.0,1.6
1,10,2.407076771818438,-51.92138966952325,11.97,0.0,1.6
1,11,3.116063446588676,-42.55344660143623,0.83,0.0,1.6
1,12,3.0264525394380284,-46.78455862987963,8.68,10.03,1.6
1,13,2.1536810436824814,-55.634166874280474,15.5,10.03,1.6
6,1,2.8155299706969927,-55.67754489271075,19.82,6.55,1.6
6,2,3.227389449003418,-47.90130533721384,24.71,10.31,1.6
6,3,2.701866377536679,-54.33797732456338,25.16,6.85,1.6
6,8,1.465362552888564,-64.35634387626669,0.0,9.79,1.6
6,9,3.076139098810084,-51.9992295977195,21.68,0.0,1.6
6,10,2.2335842919259483,-59.44488650575699,11.97,0.0,1.6
6,11,2.6945101386980714,-50.12010969716864,0.83,0.0,1.6
6,12,2.2126876958467023,-59.678157629946824,8.68,10.03,1.6
6,13,2.0105962035907847,-62.660352886644965,15.5,10.03,1.6
8,1,2.803809237324147,-50.288820236810075,19.82,6.55,1.6
8,2,3.73982065472418,-34.789717638451556,24.71,10.31,1.6
8,3,3.217159396946076,-41.33274320870043,25.16,6.85,1.6
8,8,2.757161928281256,-41.47564777638893,0.0,9.79,1.6
8,9,3.4485494761348776,-40.79039221390949,21.68,0.0,1.6
8,10,3.3079385656845,-42.3146859246705,11.97,0.0,1.6
8,11,3.5127744077339584,-34.07853504897371,0.83,0.0,1.6
8,12,3.7430839513321694,-34.87570136514213,8.68,10.03,1.6
8,13,3.5692726819344776,-39.06041963576752,15.5,10.03,1.6
9,1,2.270106077397386,-60.145436408432865,19.82,6.55,1.6
9,2,3.0676536608469074,-47.806365501120126,24.71,10.31,1.6
9,3,2.642075531798904,-54.293541386434256,25.16,6.85,1.6
9,8,1.6994268698023385,-60.4501524575305,0.0,9.79,1.6
9,9,2.8156254594584733,-51.96230680946312,21.68,0.0,1.6
9,10,2.253175844492844,-57.63427199254548,11.97,0.0,1.6
9,11,2.285275331157421,-55.63852094239975,0.83,0.0,1.6
9,12,2.2202966974116776,-58.646307155962866,8.68,10.03,1.6
9,13,2.0314937426918247,-61.74641604024455,15.5,10.03,1.6
